symbol,industry_name
SBG,"Hàng & Dịch vụ Công nghiệp"
SFI,"Hàng & Dịch vụ Công nghiệp"
SGN,"Hàng & Dịch vụ Công nghiệp"
SRF,"Hàng & Dịch vụ Công nghiệp"
STG,"Hàng & Dịch vụ Công nghiệp"
SVI,"Hàng & Dịch vụ Công nghiệp"
TCL,"Hàng & Dịch vụ Công nghiệp"
TDP,"Hàng & Dịch vụ Công nghiệp"
TMS,"Hàng & Dịch vụ Công nghiệp"
TV2,"Hàng & Dịch vụ Công nghiệp"
TYA,"Hàng & Dịch vụ Công nghiệp"
VIP,"Hàng & Dịch vụ Công nghiệp"
VNL,"Hàng & Dịch vụ Công nghiệp"
VOS,"Hàng & Dịch vụ Công nghiệp"
VSC,"Hàng & Dịch vụ Công nghiệp"
VTB,"Hàng & Dịch vụ Công nghiệp"
VTO,"Hàng & Dịch vụ Công nghiệp"
VTP,"Hàng & Dịch vụ Công nghiệp"
AAT,"Hàng cá nhân & Gia dụng"
ADS,"Hàng cá nhân & Gia dụng"
BKG,"Hàng cá nhân & Gia dụng"
CLC,"Hàng cá nhân & Gia dụng"
DQC,"Hàng cá nhân & Gia dụng"
EVE,"Hàng cá nhân & Gia dụng"
GDT,"Hàng cá nhân & Gia dụng"
GIL,"Hàng cá nhân & Gia dụng"
HTG,"Hàng cá nhân & Gia dụng"
KMR,"Hàng cá nhân & Gia dụng"
LIX,"Hàng cá nhân & Gia dụng"
MSH,"Hàng cá nhân & Gia dụng"
NHT,"Hàng cá nhân & Gia dụng"
PNJ,"Hàng cá nhân & Gia dụng"
RAL,"Hàng cá nhân & Gia dụng"
STK,"Hàng cá nhân & Gia dụng"
SVD,"Hàng cá nhân & Gia dụng"
TCM,"Hàng cá nhân & Gia dụng"
TLG,"Hàng cá nhân & Gia dụng"
TVT,"Hàng cá nhân & Gia dụng"
AAA,"Hóa chất"
ABS,"Hóa chất"
BFC,"Hóa chất"
BRC,"Hóa chất"
CSV,"Hóa chất"
DCM,"Hóa chất"
DGC,"Hóa chất"
DPM,"Hóa chất"
DPR,"Hóa chất"
DTT,"Hóa chất"
GVR,"Hóa chất"
HCD,"Hóa chất"
HII,"Hóa chất"
HRC,"Hóa chất"
NHH,"Hóa chất"
PHR,"Hóa chất"
PLP,"Hóa chất"
SFG,"Hóa chất"
TNC,"Hóa chất"
TPC,"Hóa chất"
TRC,"Hóa chất"
TSC,"Hóa chất"
VAF,"Hóa chất"
VFG,"Hóa chất"
VPS,"Hóa chất"
ACB,"Ngân hàng"
BID,"Ngân hàng"
CTG,"Ngân hàng"
EIB,"Ngân hàng"
HDB,"Ngân hàng"
LPB,"Ngân hàng"
MBB,"Ngân hàng"
MSB,"Ngân hàng"
NAB,"Ngân hàng"
OCB,"Ngân hàng"
SHB,"Ngân hàng"
SSB,"Ngân hàng"
STB,"Ngân hàng"
TCB,"Ngân hàng"
TPB,"Ngân hàng"
VCB,"Ngân hàng"
VIB,"Ngân hàng"
VPB,"Ngân hàng"
CSM,"Ô tô và phụ tùng"
CTF,"Ô tô và phụ tùng"
DRC,"Ô tô và phụ tùng"
HAX,"Ô tô và phụ tùng"
HHS,"Ô tô và phụ tùng"
HTL,"Ô tô và phụ tùng"
SRC,"Ô tô và phụ tùng"
SVC,"Ô tô và phụ tùng"
TMT,"Ô tô và phụ tùng"
ACG,"Tài nguyên Cơ bản"
BMC,"Tài nguyên Cơ bản"
DHC,"Tài nguyên Cơ bản"
DHM,"Tài nguyên Cơ bản"
DTL,"Tài nguyên Cơ bản"
GTA,"Tài nguyên Cơ bản"
HAP,"Tài nguyên Cơ bản"
HHP,"Tài nguyên Cơ bản"
HMC,"Tài nguyên Cơ bản"
HPG,"Tài nguyên Cơ bản"
HSG,"Tài nguyên Cơ bản"
KSB,"Tài nguyên Cơ bản"
NKG,"Tài nguyên Cơ bản"
PTB,"Tài nguyên Cơ bản"
SAV,"Tài nguyên Cơ bản"
SHA,"Tài nguyên Cơ bản"
SHI,"Tài nguyên Cơ bản"
SMC,"Tài nguyên Cơ bản"
TLH,"Tài nguyên Cơ bản"
TNI,"Tài nguyên Cơ bản"
TNT,"Tài nguyên Cơ bản"
TTF,"Tài nguyên Cơ bản"
VCA,"Tài nguyên Cơ bản"
VID,"Tài nguyên Cơ bản"
VPG,"Tài nguyên Cơ bản"
YBM,"Tài nguyên Cơ bản"
AAM,"Thực phẩm và đồ uống"
ABT,"Thực phẩm và đồ uống"
ACL,"Thực phẩm và đồ uống"
AGM,"Thực phẩm và đồ uống"
ANV,"Thực phẩm và đồ uống"
ASM,"Thực phẩm và đồ uống"
BAF,"Thực phẩm và đồ uống"
BBC,"Thực phẩm và đồ uống"
BHN,"Thực phẩm và đồ uống"
CMX,"Thực phẩm và đồ uống"
DAT,"Thực phẩm và đồ uống"
DBC,"Thực phẩm và đồ uống"
FMC,"Thực phẩm và đồ uống"
HAG,"Thực phẩm và đồ uống"
HSL,"Thực phẩm và đồ uống"
IDI,"Thực phẩm và đồ uống"
KDC,"Thực phẩm và đồ uống"
LAF,"Thực phẩm và đồ uống"
LSS,"Thực phẩm và đồ uống"
MCM,"Thực phẩm và đồ uống"
MSN,"Thực phẩm và đồ uống"
NAF,"Thực phẩm và đồ uống"
NSC,"Thực phẩm và đồ uống"
PAN,"Thực phẩm và đồ uống"
SAB,"Thực phẩm và đồ uống"
SBT,"Thực phẩm và đồ uống"
SMB,"Thực phẩm và đồ uống"
SSC,"Thực phẩm và đồ uống"
TCO,"Thực phẩm và đồ uống"
VCF,"Thực phẩm và đồ uống"
VHC,"Thực phẩm và đồ uống"
VNM,"Thực phẩm và đồ uống"
ADG,"Truyền thông"
PNC,"Truyền thông"
YEG,"Truyền thông"
ACC,"Xây dựng và Vật liệu"
ADP,"Xây dựng và Vật liệu"
BCE,"Xây dựng và Vật liệu"
BMP,"Xây dựng và Vật liệu"
C32,"Xây dựng và Vật liệu"
C47,"Xây dựng và Vật liệu"
CCC,"Xây dựng và Vật liệu"
CDC,"Xây dựng và Vật liệu"
CIG,"Xây dựng và Vật liệu"
CII,"Xây dựng và Vật liệu"
CRC,"Xây dựng và Vật liệu"
CTD,"Xây dựng và Vật liệu"
CTI,"Xây dựng và Vật liệu"
CTR,"Xây dựng và Vật liệu"
CVT,"Xây dựng và Vật liệu"
DC4,"Xây dựng và Vật liệu"
DHA,"Xây dựng và Vật liệu"
DLG,"Xây dựng và Vật liệu"
DPG,"Xây dựng và Vật liệu"
DXV,"Xây dựng và Vật liệu"
EVG,"Xây dựng và Vật liệu"
FCM,"Xây dựng và Vật liệu"
FCN,"Xây dựng và Vật liệu"
GMH,"Xây dựng và Vật liệu"
HAS,"Xây dựng và Vật liệu"
HHV,"Xây dựng và Vật liệu"
HID,"Xây dựng và Vật liệu"
HT1,"Xây dựng và Vật liệu"
HTI,"Xây dựng và Vật liệu"
HU1,"Xây dựng và Vật liệu"
HUB,"Xây dựng và Vật liệu"
HVH,"Xây dựng và Vật liệu"
HVX,"Xây dựng và Vật liệu"
KPF,"Xây dựng và Vật liệu"
LBM,"Xây dựng và Vật liệu"
LCG,"Xây dựng và Vật liệu"
LGC,"Xây dựng và Vật liệu"
LM8,"Xây dựng và Vật liệu"
MDG,"Xây dựng và Vật liệu"
NAV,"Xây dựng và Vật liệu"
NHA,"Xây dựng và Vật liệu"
NNC,"Xây dựng và Vật liệu"
PC1,"Xây dựng và Vật liệu"
PHC,"Xây dựng và Vật liệu"
PTC,"Xây dựng và Vật liệu"
RYG,"Xây dựng và Vật liệu"
SC5,"Xây dựng và Vật liệu"
TCD,"Xây dựng và Vật liệu"
TCR,"Xây dựng và Vật liệu"
THG,"Xây dựng và Vật liệu"
VCG,"Xây dựng và Vật liệu"
VGC,"Xây dựng và Vật liệu"
VNE,"Xây dựng và Vật liệu"
VSI,"Xây dựng và Vật liệu"
DBD,"Y tế"
DBT,"Y tế"
DCL,"Y tế"
DHG,"Y tế"
DMC,"Y tế"
FIT,"Y tế"
IMP,"Y tế"
JVC,"Y tế"
OPC,"Y tế"
SPM,"Y tế"
TNH,"Y tế"
TRA,"Y tế"
VDP,"Y tế"
VMD,"Y tế"
